root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:15.921113 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3212:3248, ack 1, win 501, length 36
15:45:15.921288 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3248:3396, ack 1, win 501, length 148
15:45:15.921410 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3396:3432, ack 1, win 501, length 36
15:45:15.921572 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3432:3580, ack 1, win 501, length 148
15:45:15.921704 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3580:3616, ack 1, win 501, length 36
15:45:15.921876 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3616:3756, ack 1, win 501, length 140
15:45:15.931002 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 2292, win 18774, length 0
15:45:15.931110 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3756:6000, ack 1, win 501, length 2244
15:45:15.931143 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 2880, win 18771, length 0
15:45:15.931364 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6000:6140, ack 1, win 501, length 140
15:45:15.931473 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 3756, win 18774, length 0
15:45:15.931576 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6140:6176, ack 1, win 501, length 36
15:45:15.931790 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6176:6324, ack 1, win 501, length 148
15:45:15.931927 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6324:6360, ack 1, win 501, length 36
15:45:15.932119 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6360:6500, ack 1, win 501, length 140
15:45:15.932257 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6500:6536, ack 1, win 501, length 36
15:45:15.932431 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6536:6684, ack 1, win 501, length 148
15:45:15.932556 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6684:6720, ack 1, win 501, length 36
15:45:15.932721 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6720:6860, ack 1, win 501, length 140
15:45:15.932902 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 6860:7008, ack 1, win 501, length 148
15:45:15.933235 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 7008:7620, ack 1, win 501, length 612
15:45:15.933541 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 7620:8120, ack 1, win 501, length 500
15:45:15.933776 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 8120:8276, ack 1, win 501, length 156
15:45:15.933978 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 8276:8432, ack 1, win 501, length 156
15:45:15.934163 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 8432:8588, ack 1, win 501, length 156
15:45:15.934436 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 8588:8744, ack 1, win 501, length 156
15:45:15.934618 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 8744:8900, ack 1, win 501, length 156
15:45:15.934882 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 8900:9056, ack 1, win 501, length 156
15:45:15.935118 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9056:9212, ack 1, win 501, length 156
15:45:15.935316 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9212:9368, ack 1, win 501, length 156
15:45:15.935540 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9368:9524, ack 1, win 501, length 156
15:45:15.935766 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9524:9680, ack 1, win 501, length 156
15:45:15.935984 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9680:9836, ack 1, win 501, length 156
15:45:15.936239 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9836:9992, ack 1, win 501, length 156
15:45:15.936468 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 9992:10148, ack 1, win 501, length 156
15:45:15.936673 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 10148:10304, ack 1, win 501, length 156
15:45:15.936912 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 10304:10460, ack 1, win 501, length 156
15:45:15.937186 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 10460:10616, ack 1, win 501, length 156
15:45:15.937419 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 10616:10772, ack 1, win 501, length 156
15:45:15.937643 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 10772:10928, ack 1, win 501, length 156
15:45:15.937874 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 10928:11084, ack 1, win 501, length 156
15:45:15.938094 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 11084:11240, ack 1, win 501, length 156
15:45:15.938316 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 11240:11396, ack 1, win 501, length 156
15:45:15.938535 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 11396:11552, ack 1, win 501, length 156
15:45:15.938752 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 11552:11708, ack 1, win 501, length 156
15:45:15.938968 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 11708:11864, ack 1, win 501, length 156
15:45:15.939206 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 11864:12020, ack 1, win 501, length 156
15:45:15.939397 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 12020:12176, ack 1, win 501, length 156
15:45:15.942872 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 7008, win 18772, length 0
15:45:15.942941 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 12176:12332, ack 1, win 501, length 156
15:45:15.942974 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 8432, win 18774, length 0
15:45:15.943301 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 12332:12688, ack 1, win 501, length 356
15:45:15.943512 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 12688:12844, ack 1, win 501, length 156
15:45:15.943767 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 12844:13000, ack 1, win 501, length 156
15:45:15.943987 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13000:13156, ack 1, win 501, length 156
15:45:15.944169 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13156:13312, ack 1, win 501, length 156
15:45:15.944345 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13312:13468, ack 1, win 501, length 156
15:45:15.944526 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13468:13624, ack 1, win 501, length 156
15:45:15.944746 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13624:13780, ack 1, win 501, length 156
15:45:15.944961 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13780:13936, ack 1, win 501, length 156
15:45:15.945185 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 13936:14092, ack 1, win 501, length 156
15:45:15.945384 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 14092:14248, ack 1, win 501, length 156
15:45:15.945592 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 14248:14404, ack 1, win 501, length 156
15:45:15.945824 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 14404:14560, ack 1, win 501, length 156
15:45:15.946068 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 14560:14716, ack 1, win 501, length 156
15:45:15.946302 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 14716:14872, ack 1, win 501, length 156
15:45:15.946516 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 14872:15028, ack 1, win 501, length 156
15:45:15.946722 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15028:15184, ack 1, win 501, length 156
15:45:15.946922 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15184:15340, ack 1, win 501, length 156
15:45:15.947337 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15340:15496, ack 1, win 501, length 156
15:45:15.947563 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15496:15652, ack 1, win 501, length 156
15:45:15.947822 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15652:15808, ack 1, win 501, length 156
15:45:15.948045 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15808:15964, ack 1, win 501, length 156
15:45:15.948258 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 15964:16120, ack 1, win 501, length 156
15:45:15.948494 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 16120:16276, ack 1, win 501, length 156
15:45:15.948710 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 16276:16432, ack 1, win 501, length 156
15:45:15.948936 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 16432:16588, ack 1, win 501, length 156
15:45:15.949131 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 16588:16744, ack 1, win 501, length 156
15:45:15.949322 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 16744:16900, ack 1, win 501, length 156
15:45:15.949522 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 16900:17056, ack 1, win 501, length 156
15:45:15.949691 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 17056:17212, ack 1, win 501, length 156
15:45:15.949878 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 17212:17368, ack 1, win 501, length 156
15:45:15.953743 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 10304, win 18773, length 0
15:45:15.953823 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 17368:17524, ack 1, win 501, length 156
15:45:15.953858 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 12176, win 18772, length 0
15:45:15.954175 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 17524:17888, ack 1, win 501, length 364
15:45:15.954396 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 17888:18044, ack 1, win 501, length 156
15:45:15.954576 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18044:18200, ack 1, win 501, length 156
15:45:15.954760 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18200:18356, ack 1, win 501, length 156
15:45:15.954958 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18356:18512, ack 1, win 501, length 156
15:45:15.955203 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18512:18668, ack 1, win 501, length 156
15:45:15.955389 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18668:18824, ack 1, win 501, length 156
15:45:15.955576 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18824:18980, ack 1, win 501, length 156
15:45:15.955798 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 18980:19136, ack 1, win 501, length 156
15:45:15.955990 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 19136:19292, ack 1, win 501, length 156
15:45:15.956194 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 19292:19448, ack 1, win 501, length 156
15:45:15.956377 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 19448:19604, ack 1, win 501, length 156
15:45:15.956580 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 19604:19760, ack 1, win 501, length 156
15:45:15.956779 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 19760:19916, ack 1, win 501, length 156
15:45:15.957028 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 19916:20072, ack 1, win 501, length 156
15:45:15.957243 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 20072:20228, ack 1, win 501, length 156
15:45:15.957452 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 20228:20384, ack 1, win 501, length 156
15:45:15.957668 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 20384:20540, ack 1, win 501, length 156
15:45:15.957887 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 20540:20696, ack 1, win 501, length 156
15:45:15.958101 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 20696:20852, ack 1, win 501, length 156
15:45:15.958280 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 20852:21008, ack 1, win 501, length 156
15:45:15.958479 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21008:21164, ack 1, win 501, length 156
15:45:15.958662 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21164:21320, ack 1, win 501, length 156
15:45:15.958866 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21320:21476, ack 1, win 501, length 156
15:45:15.959063 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21476:21632, ack 1, win 501, length 156
15:45:15.959235 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21632:21788, ack 1, win 501, length 156
15:45:15.959419 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21788:21944, ack 1, win 501, length 156
15:45:15.959656 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 21944:22100, ack 1, win 501, length 156
15:45:15.959854 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 22100:22256, ack 1, win 501, length 156
15:45:15.960065 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 22256:22412, ack 1, win 501, length 156
15:45:15.960280 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 22412:22568, ack 1, win 501, length 156
15:45:15.960480 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 22568:22724, ack 1, win 501, length 156
15:45:15.960681 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 22724:22880, ack 1, win 501, length 156
15:45:15.960914 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 22880:23036, ack 1, win 501, length 156
15:45:15.961128 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23036:23192, ack 1, win 501, length 156
15:45:15.961341 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23192:23348, ack 1, win 501, length 156
15:45:15.961545 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23348:23504, ack 1, win 501, length 156
15:45:15.961742 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23504:23660, ack 1, win 501, length 156
15:45:15.961921 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23660:23816, ack 1, win 501, length 156
15:45:15.962106 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23816:23972, ack 1, win 501, length 156
15:45:15.962295 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 23972:24128, ack 1, win 501, length 156
15:45:15.962489 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 24128:24284, ack 1, win 501, length 156
15:45:15.962719 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 24284:24440, ack 1, win 501, length 156
15:45:15.962928 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 24440:24596, ack 1, win 501, length 156
15:45:15.963053 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 16744, win 18769, length 0
15:45:15.963113 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 19136, win 18774, length 0
15:45:15.963334 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 24596:24960, ack 1, win 501, length 364
15:45:15.963559 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 24960:25116, ack 1, win 501, length 156
15:45:15.963822 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 25116:25272, ack 1, win 501, length 156
15:45:15.964044 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 25272:25428, ack 1, win 501, length 156
15:45:15.964266 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 25428:25584, ack 1, win 501, length 156
15:45:15.964464 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 25584:25740, ack 1, win 501, length 156
15:45:15.964663 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 25740:25896, ack 1, win 501, length 156
15:45:15.964872 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 25896:26052, ack 1, win 501, length 156
15:45:15.965091 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26052:26208, ack 1, win 501, length 156
15:45:15.965295 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26208:26364, ack 1, win 501, length 156
15:45:15.965527 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26364:26520, ack 1, win 501, length 156
15:45:15.965721 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26520:26676, ack 1, win 501, length 156
15:45:15.965918 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26676:26832, ack 1, win 501, length 156
15:45:15.966136 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26832:26988, ack 1, win 501, length 156
15:45:15.966338 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 26988:27144, ack 1, win 501, length 156
15:45:15.966551 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 27144:27300, ack 1, win 501, length 156
15:45:15.966776 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 27300:27456, ack 1, win 501, length 156
15:45:15.966972 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 27456:27612, ack 1, win 501, length 156
15:45:15.967199 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 27612:27768, ack 1, win 501, length 156
15:45:15.967398 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 27768:27924, ack 1, win 501, length 156
15:45:15.967670 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 27924:28080, ack 1, win 501, length 156
15:45:15.967915 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 28080:28236, ack 1, win 501, length 156
15:45:15.968121 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 28236:28392, ack 1, win 501, length 156
15:45:15.968356 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 28392:28548, ack 1, win 501, length 156
15:45:15.968693 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 28548:28704, ack 1, win 501, length 156
15:45:15.968916 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 28704:28860, ack 1, win 501, length 156
15:45:15.969102 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 28860:29016, ack 1, win 501, length 156
15:45:15.969318 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 29016:29172, ack 1, win 501, length 156
15:45:15.969539 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 29172:29328, ack 1, win 501, length 156
15:45:15.969754 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 29328:29484, ack 1, win 501, length 156
15:45:15.969956 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 29484:29640, ack 1, win 501, length 156
15:45:15.970005 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 22412, win 18774, length 0
15:45:15.970316 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 29640:29900, ack 1, win 501, length 260
15:45:15.970504 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 29900:30056, ack 1, win 501, length 156
15:45:15.970720 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30056:30212, ack 1, win 501, length 156
15:45:15.970928 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30212:30368, ack 1, win 501, length 156
15:45:15.971166 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30368:30524, ack 1, win 501, length 156
15:45:15.971379 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30524:30680, ack 1, win 501, length 156
15:45:15.971593 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30680:30836, ack 1, win 501, length 156
15:45:15.971840 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30836:30992, ack 1, win 501, length 156
15:45:15.972033 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 30992:31148, ack 1, win 501, length 156
15:45:15.972246 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 31148:31304, ack 1, win 501, length 156
15:45:15.972460 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 31304:31460, ack 1, win 501, length 156
15:45:15.972679 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 31460:31616, ack 1, win 501, length 156
15:45:15.972901 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 31616:31772, ack 1, win 501, length 156
15:45:15.973085 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 24128, win 18774, length 0
15:45:15.973202 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 31772:31928, ack 1, win 501, length 156
15:45:15.973471 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 31928:32188, ack 1, win 501, length 260
15:45:15.973691 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 32188:32344, ack 1, win 501, length 156
15:45:15.973896 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 32344:32500, ack 1, win 501, length 156
15:45:15.974103 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 32500:32656, ack 1, win 501, length 156
15:45:15.974333 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 32656:32812, ack 1, win 501, length 156
15:45:15.974572 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 32812:32968, ack 1, win 501, length 156
15:45:15.974779 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 32968:33124, ack 1, win 501, length 156
15:45:15.974982 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 33124:33280, ack 1, win 501, length 156
15:45:15.975234 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 33280:33436, ack 1, win 501, length 156
15:45:15.975445 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 33436:33592, ack 1, win 501, length 156
15:45:15.975700 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 33592:33748, ack 1, win 501, length 156
15:45:15.975929 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 33748:33904, ack 1, win 501, length 156
15:45:15.976148 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 33904:34060, ack 1, win 501, length 156
